"id","nome","ibge","uf"
2,"Ariquemes",1100023,"RO"
3,"Cabixi",1100031,"RO"
4,"Cacoal",1100049,"RO"
5,"Cerejeiras",1100056,"RO"
6,"Colorado do Oeste",1100064,"RO"
7,"Corumbiara",1100072,"RO"
8,"Costa Marques",1100080,"RO"
10,"Guajará-Mirim",1100106,"RO"
11,"Jaru",1100114,"RO"
12,"Ji-Paraná",1100122,"RO"
15,"Ouro Preto do Oeste",1100155,"RO"
16,"Pimenta Bueno",1100189,"RO"
17,"Porto Velho",1100205,"RO"
18,"Presidente Médici",1100254,"RO"
19,"Rio Crespo",1100262,"RO"
20,"Rolim de Moura",1100288,"RO"
22,"Vilhena",1100304,"RO"
23,"São Miguel do Guaporé",1100320,"RO"
24,"Nova Mamoré",1100338,"RO"
26,"Alto Alegre dos Parecis",1100379,"RO"
27,"Alto Paraíso",1100403,"RO"
28,"Buritis",1100452,"RO"
29,"Novo Horizonte do Oeste",1100502,"RO"
30,"Cacaulândia",1100601,"RO"
31,"Campo Novo de Rondônia",1100700,"RO"
32,"Candeias do Jamari",1100809,"RO"
33,"Castanheiras",1100908,"RO"
34,"Chupinguaia",1100924,"RO"
35,"Cujubim",1100940,"RO"
36,"Governador Jorge Teixeira",1101005,"RO"
37,"Itapuã do Oeste",1101104,"RO"
38,"Ministro Andreazza",1101203,"RO"
39,"Mirante da Serra",1101302,"RO"
40,"Monte Negro",1101401,"RO"
41,"Nova União",1101435,"RO"
42,"Parecis",1101450,"RO"
43,"Pimenteiras do Oeste",1101468,"RO"
44,"Primavera de Rondônia",1101476,"RO"
46,"São Francisco do Guaporé",1101492,"RO"
47,"Seringueiras",1101500,"RO"
48,"Teixeirópolis",1101559,"RO"
49,"Theobroma",1101609,"RO"
50,"Urupá",1101708,"RO"
51,"Vale do Anari",1101757,"RO"
52,"Vale do Paraíso",1101807,"RO"
53,"Acrelândia",1200013,"AC"
54,"Assis Brasil",1200054,"AC"
55,"Brasiléia",1200104,"AC"
56,"Bujari",1200138,"AC"
57,"Capixaba",1200179,"AC"
58,"Cruzeiro do Sul",1200203,"AC"
59,"Epitaciolândia",1200252,"AC"
60,"Feijó",1200302,"AC"
61,"Jordão",1200328,"AC"
62,"Mâncio Lima",1200336,"AC"
63,"Manoel Urbano",1200344,"AC"
64,"Marechal Thaumaturgo",1200351,"AC"
65,"Plácido de Castro",1200385,"AC"
66,"Porto Walter",1200393,"AC"
67,"Rio Branco",1200401,"AC"
68,"Rodrigues Alves",1200427,"AC"
69,"Santa Rosa do Purus",1200435,"AC"
